time,value
2023-03-13T09:05:38.773Z,60
2023-03-13T09:05:40.884Z,60
2023-03-13T09:05:43.006Z,60
2023-03-13T09:05:45.101Z,60
2023-03-13T09:05:47.209Z,60
2023-03-13T09:05:49.333Z,60
2023-03-13T09:05:51.429Z,60
2023-03-13T09:05:53.546Z,60
2023-03-13T09:05:55.658Z,60
2023-03-13T09:05:57.762Z,60
2023-03-13T09:05:59.869Z,60
2023-03-13T09:06:01.976Z,60
2023-03-13T09:06:04.09Z,60
2023-03-13T09:06:06.192Z,60
2023-03-13T09:06:08.307Z,60
2023-03-13T09:06:10.407Z,60
2023-03-13T09:06:12.525Z,60
2023-03-13T09:06:14.641Z,60
2023-03-13T09:06:16.749Z,60
2023-03-13T09:06:18.855Z,60
2023-03-13T09:06:20.961Z,60
2023-03-13T09:06:23.069Z,60
2023-03-13T09:06:25.18Z,60
2023-03-13T09:06:27.285Z,60
2023-03-13T09:06:29.399Z,60
2023-03-13T09:06:31.506Z,60
2023-03-13T09:06:33.614Z,60
2023-03-13T09:06:35.731Z,60
2023-03-13T09:06:37.837Z,60
2023-03-13T09:06:39.945Z,60
2023-03-13T09:06:42.055Z,60
2023-03-13T09:06:44.17Z,60
2023-03-13T09:06:46.277Z,60
2023-03-13T09:06:48.39Z,60
2023-03-13T09:06:50.499Z,60
2023-03-13T09:06:52.599Z,60
2023-03-13T09:06:54.711Z,60
2023-03-13T09:06:56.821Z,60
2023-03-13T09:06:58.925Z,60
2023-03-13T09:07:01.041Z,60
2023-03-13T09:07:03.143Z,60
2023-03-13T09:07:05.256Z,60
2023-03-13T09:07:07.371Z,60
2023-03-13T09:07:09.484Z,60
2023-03-13T09:07:11.586Z,60
2023-03-13T09:07:13.699Z,60
2023-03-13T09:07:15.803Z,60
2023-03-13T09:07:17.909Z,60
2023-03-13T09:07:20.021Z,60
2023-03-13T09:07:22.139Z,60
2023-03-13T09:07:24.246Z,60
2023-03-13T09:07:26.357Z,60
2023-03-13T09:07:28.465Z,60
2023-03-13T09:07:30.572Z,60
2023-03-13T09:07:32.686Z,60
2023-03-13T09:07:34.787Z,60
2023-03-13T09:07:36.9Z,60
2023-03-13T09:07:39.011Z,60
2023-03-13T09:07:41.116Z,60
2023-03-13T09:07:43.225Z,60
2023-03-13T09:07:45.344Z,60
2023-03-13T09:07:47.455Z,60
2023-03-13T09:07:49.559Z,60
2023-03-13T09:07:51.67Z,60
2023-03-13T09:07:53.777Z,60
2023-03-13T09:07:55.881Z,60
2023-03-13T09:07:57.994Z,60
2023-03-13T09:08:00.109Z,60
2023-03-13T09:08:02.206Z,60
2023-03-13T09:08:04.315Z,60
2023-03-13T09:08:06.427Z,60
2023-03-13T09:08:08.531Z,60
2023-03-13T09:08:10.636Z,60
2023-03-13T09:08:12.751Z,60
2023-03-13T09:08:14.871Z,60
2023-03-13T09:08:16.975Z,60
2023-03-13T09:08:19.084Z,60
2023-03-13T09:08:21.191Z,60
2023-03-13T09:08:23.307Z,60
2023-03-13T09:08:25.411Z,59.900001525878906
2023-03-13T09:08:27.523Z,60
2023-03-13T09:08:29.642Z,60
2023-03-13T09:08:31.746Z,60
2023-03-13T09:08:33.856Z,59.900001525878906
2023-03-13T09:08:35.962Z,60
2023-03-13T09:08:38.071Z,59.900001525878906
2023-03-13T09:08:40.182Z,59.900001525878906
2023-03-13T09:08:42.291Z,59.900001525878906
2023-03-13T09:08:44.415Z,59.900001525878906
2023-03-13T09:08:46.511Z,59.900001525878906
2023-03-13T09:08:48.617Z,60
2023-03-13T09:08:50.727Z,59.900001525878906
2023-03-13T09:08:52.832Z,59.900001525878906
2023-03-13T09:08:54.951Z,60
2023-03-13T09:08:57.06Z,60
2023-03-13T09:08:59.17Z,59.900001525878906
2023-03-13T09:09:01.284Z,60
2023-03-13T09:09:03.385Z,59.900001525878906
2023-03-13T09:09:05.491Z,60
2023-03-13T09:09:07.605Z,59.900001525878906
2023-03-13T09:09:09.717Z,59.900001525878906
2023-03-13T09:09:11.821Z,60
2023-03-13T09:09:13.93Z,59.900001525878906
2023-03-13T09:09:16.042Z,59.900001525878906
2023-03-13T09:09:18.157Z,60
2023-03-13T09:09:20.266Z,59.900001525878906
2023-03-13T09:09:22.375Z,59.900001525878906
2023-03-13T09:09:24.479Z,60
2023-03-13T09:09:26.591Z,59.900001525878906
2023-03-13T09:09:28.692Z,60
2023-03-13T09:09:30.806Z,60
2023-03-13T09:09:32.916Z,60
2023-03-13T09:09:35.017Z,60
2023-03-13T09:09:37.131Z,59.900001525878906
2023-03-13T09:09:39.242Z,59.900001525878906
2023-03-13T09:09:41.357Z,60
2023-03-13T09:09:43.474Z,59.900001525878906
2023-03-13T09:09:45.575Z,59.900001525878906
2023-03-13T09:09:47.68Z,59.900001525878906
2023-03-13T09:09:49.793Z,60
2023-03-13T09:09:51.895Z,59.900001525878906
2023-03-13T09:09:54Z,59.900001525878906
2023-03-13T09:09:56.121Z,59.900001525878906
2023-03-13T09:09:58.228Z,60
2023-03-13T09:10:00.332Z,59.900001525878906
2023-03-13T09:10:02.447Z,59.900001525878906
2023-03-13T09:10:04.549Z,60
2023-03-13T09:10:06.661Z,60
2023-03-13T09:10:08.763Z,59.900001525878906
2023-03-13T09:10:10.887Z,59.900001525878906
2023-03-13T09:10:12.993Z,59.900001525878906
2023-03-13T09:10:15.103Z,60
2023-03-13T09:10:17.213Z,59.900001525878906
2023-03-13T09:10:19.318Z,60
2023-03-13T09:10:21.431Z,60
2023-03-13T09:10:23.537Z,60
2023-03-13T09:10:25.648Z,60
2023-03-13T09:10:27.753Z,60
2023-03-13T09:10:29.867Z,60
2023-03-13T09:10:31.979Z,60
2023-03-13T09:10:34.089Z,60
2023-03-13T09:10:36.2Z,60
2023-03-13T09:10:38.312Z,60
2023-03-13T09:10:40.416Z,60
2023-03-13T09:10:42.516Z,59.900001525878906
2023-03-13T09:10:44.631Z,59.900001525878906
2023-03-13T09:10:46.74Z,59.900001525878906
2023-03-13T09:10:48.847Z,59.900001525878906
2023-03-13T09:10:50.962Z,60
2023-03-13T09:10:53.078Z,60
2023-03-13T09:10:55.187Z,59.900001525878906
2023-03-13T09:10:57.296Z,59.900001525878906
2023-03-13T09:10:59.394Z,59.900001525878906
2023-03-13T09:11:01.506Z,60
2023-03-13T09:11:03.623Z,59.900001525878906
2023-03-13T09:11:05.729Z,59.900001525878906
2023-03-13T09:11:07.833Z,59.900001525878906
2023-03-13T09:11:09.949Z,59.900001525878906
2023-03-13T09:11:12.047Z,59.900001525878906
2023-03-13T09:11:14.177Z,59.900001525878906
2023-03-13T09:11:16.27Z,59.900001525878906
